Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
Jan-22,Washoe,NV,Passenger,1,0,19002,43445,63,1.59
Mar-22,DuPage,IL,Passenger,1,0,22323,45233,65,1.54
Feb-22,Okaloosa,FL,Passenger,0,1,21897,52282,118,0.85
Apr-22,Pacific,WA,Truck,0,0,34543,76162,7662,5
May-22,Clackamas,OR,Passenger,1,1,35233,11333,157,1.27
Jun-22,District of Columbia,DC,Passenger,0,3,37775,115332,221,1.36
Jul-22,Churchill,NV,Passenger,0,1,38343,123231,34,2.94
Aug-22,Marion,IN,Passenger,1,0,49023,145273,76,1.32
Sep-22,Klamath,OR,Passenger,1,0,49783,232122,45,2.22
Oct-22,Stevens,WA,Truck,0,0,52893,282702,18702,0
Nov-22,Yakima,WA,Passenger,57,72,72142,360967,161096,0.08
Dec-22,Chatham,NC,Passenger,1,0,75483,593023,7,14.29
April 30 2019,Riverside,CA,Passenger,2,2,4,691,695,0.58
September 30 2018,Clark,WA,Truck,0,0,0,79332,79332,0
May 31 2023,Skagit,WA,Passenger,1077,402,1479,88829,90308,1.64
September 30 2021,Norfolk,VA,Passenger,2,3,5,301,306,1.63
June 30 2024,Allegheny,PA,Passenger,3,0,3,52,55,5.45
June 30 2020,Dakota,MN,Passenger,0,1,1,34,35,2.86
July 31 2020,Essex,MA,Passenger,1,0,1,24,25,4
May 31 2024,Tooele,UT,Passenger,2,0,2,9,11,18.18
December 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
May 31 2021,Grays Harbor,WA,Truck,0,0,0,21416,21416,0
September 30 2024,Grant,WA,Truck,36,0,36,28025,28061,0.13
January 31 2019,Moore,NC,Passenger,0,1,1,186,187,0.53
August 31 2020,District of Columbia,DC,Passenger,1,0,1,192,193,0.52
May 31 2020,Charleston,SC,Passenger,1,0,1,109,110,0.91
April 30 2017,Charles,MD,Passenger,0,1,1,90,91,1.1
November 30 2020,Nassau,FL,Passenger,1,0,1,39,40,2.5
August 31 2023,Onslow,NC,Passenger,0,1,1,140,141,0.71
December 31 2020,El Dorado,CA,Passenger,1,0,1,39,40,2.5
August 31 2022,Autauga,AL,Passenger,1,0,1,15,16,6.25
November 30 2024,Sussex,NJ,Passenger,1,0,1,0,1,100
February 28 2018,Clark,WA,Passenger,888,614,1502,305211,306713,0.49
June 30 2018,Kootenai,ID,Passenger,0,1,1,227,228,0.44
February 28 2019,Washoe,NV,Passenger,2,0,2,114,116,1.72
July 31 2017,Deschutes,OR,Passenger,1,0,1,206,207,0.48
March 31 2023,Mohave,AZ,Passenger,1,0,1,44,45,2.22
July 31 2020,Denton,TX,Passenger,1,0,1,102,103,0.97
May 31 2020,Washtenaw,MI,Passenger,1,0,1,36,37,2.7
August 31 2020,Pima,AZ,Passenger,3,1,4,372,376,1.06
May 31 2023,Berkeley,SC,Passenger,0,1,1,124,125,0.8
January 31 2024,Thurston,WA,Truck,97,0,97,53353,53450,0.18
October 31 2023,Prince William,VA,Passenger,1,4,5,161,166,3.01
March 31 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
February 28 2019,Shasta,CA,Passenger,1,0,1,45,46,2.17
July 31 2017,Thurston,WA,Passenger,417,349,766,186974,187740,0.41
March 31 2017,Klickitat,WA,Passenger,21,23,44,14776,14820,0.3
July 31 2022,Stevens,WA,Passenger,73,54,127,29973,30100,0.42
November 30 2020,San Juan,WA,Passenger,355,107,462,14003,14465,3.19
November 30 2020,Prince George's,MD,Passenger,2,1,3,163,166,1.81
December 31 2023,Newport News,VA,Passenger,1,0,1,103,104,0.96
December 31 2020,New Haven,CT,Passenger,0,2,2,35,37,5.41
April 30 2020,Fulton,GA,Passenger,1,3,4,107,111,3.6
March 31 2022,Yakima,WA,Passenger,312,181,493,167528,168021,0.29
September 30 2024,Grays Harbor,WA,Truck,26,0,26,20641,20667,0.13
November 30 2022,Klickitat,WA,Truck,3,0,3,8236,8239,0.04
September 30 2021,Boulder,CO,Passenger,1,1,2,50,52,3.85
June 30 2024,Alexandria,VA,Passenger,4,0,4,81,85,4.71
January 31 2025,Skamania,WA,Passenger,171,63,234,7544,7778,3.01
January 31 2025,Orange,CA,Passenger,5,1,6,247,253,2.37
February 28 2021,Klickitat,WA,Truck,0,0,0,8105,8105,0
January 31 2021,Chatham,NC,Passenger,1,0,1,6,7,14.29
December 31 2017,Jefferson,NY,Passenger,1,0,1,231,232,0.43
January 31 2018,Prince William,VA,Passenger,0,5,5,266,271,1.85
April 30 2017,Northampton,PA,Passenger,2,0,2,189,191,1.05
March 31 2024,Anne Arundel,MD,Truck,1,0,1,41,42,2.38
November 30 2019,Kent,MI,Passenger,0,1,1,29,30,3.33
May 31 2017,Pacific,WA,Passenger,9,7,16,15130,15146,0.11
November 30 2020,Goochland,VA,Passenger,4,2,6,279,285,2.11
February 28 2023,Whitman,WA,Truck,4,0,4,8639,8643,0.05
August 31 2022,Penobscot,ME,Passenger,0,2,2,9,11,18.18
February 29 2024,Richmond,GA,Passenger,0,1,1,55,56,1.79
December 31 2019,Clark,WA,Passenger,1843,1041,2884,317563,320447,0.9
March 31 2020,Sacramento,CA,Passenger,1,1,2,290,292,0.68
November 30 2020,Fresno,CA,Passenger,1,0,1,195,196,0.51
February 28 2019,New Haven,CT,Passenger,0,1,1,48,49,2.04
August 31 2020,Boone,MO,Passenger,0,1,1,11,12,8.33
September 30 2020,Pierce,WA,Passenger,2573,1703,4276,553260,557536,0.77
December 31 2021,DuPage,IL,Passenger,3,1,4,57,61,6.56
February 29 2020,Ferry,WA,Passenger,5,2,7,4374,4381,0.16
May 31 2021,Wichita,TX,Passenger,1,0,1,41,42,2.38
August 31 2023,Adams,CO,Passenger,1,0,1,28,29,3.45
April 30 2017,Franklin,WA,Truck,0,0,0,17988,17988,0
April 30 2022,Lewis,WA,Truck,0,0,0,26420,26420,0
April 30 2022,Benton,WA,Truck,1,0,1,43544,43545,0
June 30 2018,Mason,WA,Truck,0,0,0,19947,19947,0
September 30 2019,Clallam,WA,Truck,1,0,1,21838,21839,0
October 31 2020,San Francisco,CA,Passenger,1,2,3,100,103,2.91
September 30 2021,DuPage,IL,Passenger,3,1,4,60,64,6.25
June 30 2022,Mercer,NJ,Passenger,0,1,1,11,12,8.33
February 28 2022,Washington,WI,Passenger,1,0,1,2,3,33.33
December 31 2017,,,Passenger,3,0,3,434,437,0.69
August 31 2017,Klickitat,WA,Truck,0,0,0,7959,7959,0
September 30 2019,Lewis,WA,Truck,0,0,0,25967,25967,0
July 31 2024,Klickitat,WA,Truck,21,0,21,8226,8247,0.25
December 31 2022,Essex,NJ,Passenger,2,0,2,12,14,14.29
April 30 2022,Platte,MO,Passenger,1,0,1,24,25,4
May 31 2019,DeKalb,IN,Passenger,1,0,1,1,2,50
March 31 2022,Chesapeake,VA,Passenger,2,1,3,392,395,0.76
April 30 2018,Douglas,WA,Truck,0,0,0,11880,11880,0
July 31 2022,Jefferson,NY,Passenger,1,0,1,213,214,0.47
August 31 2021,Sarasota,FL,Passenger,2,0,2,42,44,4.55
March 31 2020,Nassau,NY,Passenger,5,0,5,41,46,10.87
August 31 2024,Spotsylvania,VA,Passenger,1,1,2,24,26,7.69
July 31 2020,Muskogee,OK,Passenger,0,1,1,2,3,33.33
May 31 2024,Skamania,WA,Passenger,148,53,201,7920,8121,2.48
May 31 2021,Island,WA,Passenger,598,308,906,62989,63895,1.42
August 31 2020,Skamania,WA,Truck,0,0,0,4024,4024,0
December 31 2023,Franklin,WA,Truck,9,0,9,20859,20868,0.04
September 30 2021,Lewis,WA,Passenger,184,151,335,59536,59871,0.56
March 31 2020,Dallas,TX,Passenger,1,0,1,216,217,0.46
January 31 2020,Orange,CA,Passenger,7,2,9,545,554,1.62
July 31 2022,St. Louis,MO,Passenger,2,0,2,70,72,2.78
May 31 2023,Hawaii,HI,Passenger,1,0,1,35,36,2.78
November 30 2021,Randolph,NC,Passenger,1,0,1,5,6,16.67
January 31 2020,Clark,WA,Passenger,1940,1053,2993,319805,322798,0.93
October 31 2017,Chelan,WA,Passenger,77,36,113,52708,52821,0.21
December 31 2019,Island,WA,Truck,1,0,1,21340,21341,0
April 30 2022,Solano,CA,Passenger,1,0,1,176,177,0.56
April 30 2024,Do�a Ana,NM,Passenger,1,0,1,13,14,7.14
June 30 2023,Franklin,WA,Passenger,307,138,445,61899,62344,0.71
November 30 2019,Alameda,CA,Passenger,4,1,5,306,311,1.61
October 31 2021,Coryell,TX,Passenger,1,0,1,103,104,0.96
September 30 2018,Prince George's,MD,Passenger,1,1,2,187,189,1.06
March 31 2021,Camden,NJ,Passenger,0,1,1,14,15,6.67
September 30 2020,Montgomery,PA,Passenger,1,0,1,29,30,3.33
May 31 2023,Eagle,CO,Passenger,1,0,1,7,8,12.5
February 29 2020,Grant,WA,Truck,0,0,0,27056,27056,0
May 31 2020,Flathead,MT,Passenger,1,0,1,72,73,1.37
September 30 2019,Mercer,NJ,Passenger,0,1,1,17,18,5.56
September 30 2023,Rockdale,GA,Passenger,1,0,1,9,10,10
December 31 2019,Kittitas,WA,Passenger,90,46,136,30034,30170,0.45
February 29 2024,Whitman,WA,Passenger,206,116,322,21915,22237,1.45
October 31 2023,Kauai,HI,Passenger,0,1,1,19,20,5
March 31 2021,Fresno,CA,Passenger,1,0,1,195,196,0.51
March 31 2021,Howard,IN,Passenger,0,1,1,4,5,20
September 30 2020,Alexandria,VA,Passenger,4,0,4,134,138,2.9
November 30 2020,Albemarle,VA,Passenger,1,0,1,26,27,3.7
October 31 2023,Goochland,VA,Passenger,3,2,5,73,78,6.41
December 31 2020,Virginia Beach,VA,Passenger,2,0,2,648,650,0.31
September 30 2024,Garfield,WA,Truck,0,0,0,990,990,0
April 30 2018,Deschutes,OR,Passenger,1,0,1,185,186,0.54
January 31 2022,Lincoln,WA,Truck,0,0,0,4828,4828,0
December 31 2020,King,WA,Passenger,26896,8136,35032,1368746,1403778,2.5
May 31 2024,Okanogan,WA,Passenger,183,87,270,26078,26348,1.02
February 28 2022,Fulton,GA,Passenger,0,1,1,84,85,1.18
December 31 2017,Pierce,WA,Truck,0,0,0,136978,136978,0
July 31 2024,Marin,CA,Truck,1,0,1,6,7,14.29
November 30 2020,Kootenai,ID,Passenger,0,1,1,221,222,0.45
December 31 2024,Richmond,GA,Passenger,0,1,1,38,39,2.56
March 31 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
September 30 2023,Benton,AR,Passenger,1,0,1,23,24,4.17
September 30 2019,Jones,GA,Passenger,1,0,1,1,2,50
October 31 2017,Asotin,WA,Truck,0,0,0,6520,6520,0
June 30 2024,Alameda,CA,Passenger,6,1,7,155,162,4.32
January 31 2025,El Paso,CO,Passenger,6,5,11,375,386,2.85
August 31 2022,Charleston,SC,Passenger,1,2,3,72,75,4
